"","team_id","player_id","rank","player","hr_a"
"1",28755,13665,1,"Marissa Mesiemore",0
"2",10411,9126,2,"Erin Hill",1
"3",649,3909,3,"Kendra Conard",2
"4",813,10145,3,"Terra Jerpbak",2
"5",6,8372,3,"Lisabelle Hansell",2
"6",184,13005,6,"Ashley Mauser",3
"7",2711,12993,6,"Sydney Matzko",3
"8",665,10000,6,"Aubrion James",3
"9",488,21081,6,"Zadaisha Waddell",3
"10",108,22356,10,"Brooke Yanez",4
"11",28755,16562,10,"Riley Randolph",4
"12",487,7118,10,"Megan Garst",4
"13",355,3178,10,"Chase Cassady",4
"14",287,8076,10,"Emma Guindon",4
"15",99,3812,10,"Ashley Coleman",4
"16",83,11935,10,"Lauren Lichtenwalner",4
"17",158,2901,10,"Madison Canby",4
"18",699,16806,10,"Naomi Reyes",4
"19",315,18706,19,"Faith Sims",5
"20",275,5537,19,"Kathleen Duncan",5
"21",361,20715,19,"Elena Valenzuela",5
"22",494,10390,19,"Jannay Jones",5
"23",485,8226,19,"Hunter Halford",5
"24",400,15122,19,"Kiara Oliver",5
"25",97,6792,19,"Sophie Frost",5
"26",522,12192,19,"Mariah Lopez",5
"27",158,16006,19,"Alexa Pinarski",5
"28",201,3768,19,"Mckenna Coffman",5
"29",402,6514,19,"Saleen Flores",5
"30",94,9200,19,"Daryn Hitzel",5
"31",624,5565,19,"Regan Dunn",5
"32",1014,18614,19,"Drayton Siegling",5
"33",229,15155,19,"Mia Olson",5
"34",367,17216,19,"Taylor Roby",5
"35",346,17586,19,"Aaliyah Ruiz",5
"36",627,5648,19,"Madison Earnshaw",5
"37",402,18374,19,"Caroline Settle",5
"38",153,8684,19,"Jessica Hay",5
"39",742,5668,39,"Carrie Eberle",6
"40",8,6627,39,"Montana Fouts",6
"41",664,20396,39,"Abby Trahan",6
"42",371,10405,39,"Kiley Jones",6
"43",386,15950,39,"Calista Phippen",6
"44",68,6979,39,"Emily Gant",6
"45",99,21699,39,"Kellie White",6
"46",810,15280,39,"Olivia Otani",6
"47",559,14096,39,"Kaitlynn Moody",6
"48",562,10892,39,"Lauren King",6
"49",104,14887,39,"Felisha Noriega",6
"50",631,5095,39,"Regan Dias",6
"51",288,1343,39,"Presley Bell",6
"52",80,9865,39,"Lauren Innerst",6
"53",371,5267,39,"Keenan Dolezal",6
"54",630,2010,39,"Caroline Bowman",6
"55",270,800,39,"Allyson Babinsack",6
"56",220,11273,39,"Katie Kudlacik",6
"57",439,9879,57,"Alyssa Irons",7
"58",68,5458,57,"Ali Dubois",7
"59",414,20950,57,"Courtney Vierstra",7
"60",1356,14565,57,"Carley Nance",7
"61",579,20832,57,"Dana Vatakis",7
"62",96,12342,57,"Danielle Lung",7
"63",414,16247,57,"Brianna Pratt",7
"64",17,5342,57,"Ambria Dorsey",7
"65",110,6159,57,"Megan Faraimo",7
"66",346,21049,57,"Julia Voluntad",7
"67",572,17327,57,"Becca Rogers",7
"68",725,14716,57,"Macey Newbary",7
"69",6,8690,57,"Lauren Hayden",7
"70",610,5642,57,"Sofia Earle",7
"71",234,10895,71,"Meghan King",8
"72",678,15794,71,"Tori Perkins",8
"73",370,943,71,"Hannah Bandimere",8
"74",310,22524,71,"Kara Zazzaro",8
"75",86,16224,71,"Ally Power",8
"76",446,17603,71,"Stephanie Rundlett",8
"77",14927,11710,71,"Brooklin Lee",8
"78",27,9323,71,"Sydney Holland",8
"79",493,20802,71,"Paige Vargas",8
"80",388,21966,71,"Kailee Williamson",8
"81",285,8833,71,"Alexandra Held",8
"82",772,19662,71,"Kennedy Sullivan",8
"83",290,14316,71,"Tracey Mosley",8
"84",494,15956,71,"Nikki Pica",8
"85",1356,11556,71,"Andie Larkins",8
"86",746,6738,71,"Allyson Frei",8
"87",1104,4981,71,"Ryan Denhart",8
"88",1004,17826,71,"Rio Sanchez",8
"89",248,551,71,"Bekah Ansbro",8
"90",482,1487,71,"Sierra Bertrand",8
"91",365,7683,71,"Maribeth Gorsuch",8
"92",87,16944,71,"Karli Ricketts",8
"93",693,16509,71,"Mariah Ramirez",8
"94",518,16872,71,"Lauren Rice",8
"95",222,10228,71,"Erica Johnson",8
"96",229,21764,71,"Skylar Whitty",8
"97",404,15798,71,"Karli Perque",8
"98",202,16837,71,"Samantha Reynoso",8
"99",277,9196,99,"Brittany Hitchcock",9
"100",156,9800,99,"Bridgette Hutton",9
"101",184,14458,99,"Liz Murphy",9
"102",370,12629,99,"Samantha Manti",9
"103",7,10067,99,"Justine Jean",9
"104",368,2953,99,"Lovina Capria",9
"105",365,19682,99,"Shelbi Sunseri",9
"106",219,12083,99,"Emily Lockhart",9
"107",404,14769,99,"Mariah Nichols",9
"108",630,20631,99,"Jenessa Ullegue",9
"109",590,15201,99,"Emily Orosco",9
"110",314,15320,99,"Kayla Owens",9
"111",381,17031,99,"Jessie Rising",9
"112",706,8950,99,"Clarissa Hernandez",9
"113",639,9661,99,"Brooke Hughes",9
"114",17,19951,99,"Paige Taylor",9
"115",719,18238,99,"Kassidy Scott",9
"116",202,15625,99,"Mollie Paulick",9
"117",220,16843,99,"Lauryn Rhinehart",9
"118",127,19504,99,"Carley Stoker",9
"119",367,8908,99,"Megan Hensley",9
"120",306,7621,99,"Emily Goodin",9
"121",659,13798,99,"Claire Miller",9
"122",47,20889,99,"Sarah Venker",9
