logo,team_name,record,rpi_rank,nfca_rank,offensive_rank,defensive_rank,overall_rank,team_id
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/19117.gif,Salem (WV),5-0-0,25,NA,2,1,1,19117
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30037.gif,Trine,39-5-0,1,4,3,6,2,30037
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/745.gif,Va. Wesleyan,43-3-1,3,5,4,9,3,745
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/259.gif,Rowan,46-2-0,6,2,15,2,4,259
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1179.gif,Linfield,41-5-0,14,6,1,54,5,1179
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/139.gif,Chris. Newport,36-6-0,4,3,9,12,7,139
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/622.gif,Salisbury,36-5-1,2,8,8,15,8,622
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/313.gif,Ithaca,29-9-0,16,24,21,5,9,313
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1062.gif,East Tex. Baptist,41-3-0,9,1,13,11,10,1062
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1130.gif,Huntingdon,38-7-0,12,NA,34,3,11,1130
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/443.gif,Moravian,38-7-0,13,18,14,16,12,443
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/798.gif,Wis.-Oshkosh,39-7-0,15,16,62,4,13,798
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1400.gif,Texas Lutheran,41-3-0,26,9,29,8,14,1400
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/300.gif,Ill. Wesleyan,37-7-0,10,NA,16,27,15,300
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/641.gif,Simpson,32-8-0,18,21,5,56,16,641
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/567.gif,Redlands,36-8-0,8,7,7,69,17,567
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/805.gif,Wis.-Whitewater,38-6-0,7,15,23,30,18,805
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30197.gif,Belhaven,32-9-0,27,12,11,65,19,30197
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/681.gif,Stockton,26-15-0,70,NA,49,19,20,681
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/258.gif,Gettysburg,41-6-0,11,17,28,29,21,258
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/382.gif,Manhattanville,31-11-0,75,NA,64,17,22,382
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/564.gif,Ramapo,33-11-0,20,NA,95,10,23,564
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/565.gif,Randolph-Macon,36-10-0,21,23,88,13,24,565
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/601.gif,St. John Fisher,29-15-0,48,NA,55,24,25,601
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/46.gif,Baldwin Wallace,31-5-0,29,19,32,40,26,46
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/686.gif,Swarthmore,33-12-0,22,NA,69,23,27,686
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/542.gif,Pfeiffer,37-9-0,23,20,70,21,28,542
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/18.gif,Alfred,33-11-0,43,NA,12,87,29,18
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8968.gif,Eastern,31-11-0,38,NA,46,37,30,8968
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30031.gif,Northwestern-St. Paul,28-16-0,121,NA,24,61,31,30031
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/217.gif,Emory,33-11-0,37,NA,42,45,32,217
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/804.gif,Wis.-Superior,31-12-0,147,NA,17,83,33,804
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/777.gif,Westfield St.,32-11-0,108,NA,45,44,34,777
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/452.gif,Mount Union,27-14-0,49,NA,57,35,35,452
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/122.gif,CWRU,30-12-0,17,14,44,47,36,122
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/793.gif,Wis.-Eau Claire,28-16-0,34,NA,19,81,37,793
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8567.gif,Mt. St. Joseph,28-14-0,50,NA,22,76,38,8567
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/755.gif,WashU,35-7-0,24,10,103,22,39,755
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/398.gif,MIT,29-12-0,44,NA,10,123,40,398
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1133.gif,Husson,27-12-0,68,NA,101,26,41,1133
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1111.gif,Greenville,34-5-0,76,NA,66,43,42,1111
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/802.gif,Wis.-Stevens Point,30-13-0,31,NA,121,18,43,802
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/581.gif,Rochester (NY),24-13-0,32,NA,80,38,44,581
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/595.gif,Saint Benedict,26-14-0,63,NA,48,64,45,595
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/28749.gif,Transylvania,32-8-0,33,NA,125,20,46,28749
