home_team_logo,home_team_id,home_team,home_team_runs,away_team_logo,away_team_id,away_team,away_team_runs,game_id,season,game_date
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/699.gif,699,Texas Southern,3,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/553.gif,553,Prairie View,4,2425605,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/817.gif,817,Youngstown St.,7,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/308.gif,308,Purdue Fort Wayne,2,2383559,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/817.gif,817,Youngstown St.,4,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/308.gif,308,Purdue Fort Wayne,3,2374059,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/5.gif,5,Akron,2,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/579.gif,579,Robert Morris,1,2374399,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/5.gif,5,Akron,13,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/579.gif,579,Robert Morris,4,2385983,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/310.gif,310,Iona,1,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/590.gif,590,Sacred Heart,5,2388548,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/483.gif,483,Nicholls,2,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/646.gif,646,South Alabama,5,2374536,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/600.gif,600,Saint Francis (PA),16,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/682.gif,682,Stonehill,0,2374267,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/711.gif,711,Towson,5,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/739.gif,739,Villanova,7,2374485,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/711.gif,711,Towson,0,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/739.gif,739,Villanova,6,2382789,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1092.gif,1092,Gardner-Webb,3,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/769.gif,769,Western Caro.,7,2374514,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1092.gif,1092,Gardner-Webb,4,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/769.gif,769,Western Caro.,16,2383090,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/68.gif,68,Boston U.,13,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/813.gif,813,Yale,0,2374480,2023,03/21/2023
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/68.gif,68,Boston U.,1,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/813.gif,813,Yale,2,2382784,2023,03/21/2023
